Name,Father,Category,Description,Url
EncSlice::compressSlice,EncGOP::compressGOP EncSlice::precompressSlice,EncoderLib,Slice编码入口,
EncGOP::compressGOP,EncLib::encode EncLib::encodePrep,EncoderLib,GOP编码入口,
EncLib::encode,EncApp::encode,EncoderLib,CSV编码入口,
EncGOP::applyDeblockingFilterMetric,EncGOP::compressGOP,EncoderLib,,
EncLib::encodePrep,EncApp::encodePrep,EncoderLib,,
EncApp::encodePrep,main,EncoderApp,,
EncApp::encode,main,EncoderApp,CSV编码入口函数,
EncApp::xWriteOutput,EncApp::encode,EncoderApp,向文件写入访问单元,
DeblockingFilter::deblockingFilterPic,EncGOP::compressGOP,EncoderLib,进行去块效应滤波,
EncSlice::encodeSlice,EncGOP::compressGOP,EncoderLib,Slice编码入口,
EncGOP::xWriteParameterSets,EncGOP::compressGOP,EncoderLib,向比特流写入参数集,
EncGOP::xWritePicHeader,EncGOP::compressGOP,EncoderLib,向比特流写入图像头信息,
HLSWriter::codeSliceHeader,EncGOP::compressGOP,EncoderLib,向比特流写入Slice头信息,
EncSlice::encodeCtus,EncSlice::compressSlice,EncoderLib,CTU编码入口,
Slice::constructRefPicList,EncGOP::compressGOP,CommonLib,构造参考列表,
EncGOP::xCalculateAddPSNRs,EncGOP::compressGOP,EncoderLib,计算GOP的PSNR,
EncCu::compressCtu,EncSlice::encodeCtus,EncoderLib,CTU编码入口,
CodingStructure::traverseCUs,EncSlice::encodeCtus,CommonLib,遍历CU,
EncCu::xCompressCU,EncCu::compressCtu EncCu::xCheckModeSplit,EncoderLib,CU编码入口,
EncCu::xCheckModeSplit,EncCu::xCompressCU,EncoderLib,检查划分模式,
EncCu::xCheckRDCostAffineMerge2Nx2N,EncCu::xCompressCU,EncoderLib,检查Affine Merge模式,
EncCu::xCheckPLT,EncCu::xCompressCU,EncoderLib,检查PLT模式,
EncCu::xCheckRDCostHashInter,EncCu::xCompressCU,EncoderLib,检查Hash Inter模式,
EncCu::xCheckRDCostIBCMode,EncCu::xCompressCU,EncoderLib,检查IBC模式,
EncCu::xCheckRDCostIBCModeMerge2Nx2N,EncCu::xCompressCU,EncoderLib,检查IBC Merge模式,
EncCu::xCheckRDCostInter,EncCu::xCompressCU,EncoderLib,检查Inter模式,
EncCu::xCheckRDCostInterIMV,EncCu::xCompressCU,EncoderLib,检查Inter IMV模式,
EncCu::xCheckRDCostIntra,EncCu::xCompressCU,EncoderLib,检查Intra模式,
EncCu::xCheckRDCostMerge2Nx2N,EncCu::xCompressCU,EncoderLib,使用率失真优化选择Merge模式最优MVP,https://liuxiangrui.github.io/2021/12/13/VTM%E4%BB%A3%E7%A0%81%E5%AD%A6%E4%B9%A0/EncCU_xCheckRDCostMerge2Nx2N/
EncCu::xCheckRDCostMergeGeo2Nx2N,EncCu::xCompressCU,EncoderLib,检查Merge Geo模式,
EncCu::xReuseCachedResult,EncCu::xCompressCU,EncoderLib,复用缓存结果,
EncCu::xCheckBestMode,EncCu::xCheckModeSplit EncCu::xCheckPLT EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N EncCu::xCheckRDCostIntra EncCu::xEncodeInterResidual EncCu::xReuseCachedResult,EncoderLib,更新最优模式,
EncCu::xEncodeDontSplit,EncCu::xCheckPLT EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N EncCu::xCheckRDCostIntra EncCu::xEncodeInterResidual EncCu::xReuseCachedResult,EncoderLib,,
EncCu::xCalDebCost,EncCu::xCheckPLT EncCu::xCheckRDCostAffineMerge2Nx2N EncCu::xCheckRDCostHashInter EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N EncCu::xCheckRDCostInter EncCu::xCheckRDCostInterIMV EncCu::xCheckRDCostIntra EncCu::xCheckRDCostMerge2Nx2N EncCu::xCheckRDCostMergeGeo2Nx2N EncCu::xReuseCachedResult,EncoderLib,,
EncCu::xCheckChromaQPOffset,EncCu::xCheckModeSplit EncCu::xCheckPLT EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N EncCu::xCheckRDCostIntra EncCu::xEncodeInterResidual EncCu::xReuseCachedResult,EncoderLib,检查色度QP偏移量,
InterPrediction::motionCompensation,EncCu::xCheckRDCostAffineMerge2Nx2N,CommonLib,运动补偿,
PU::spanMotionInfo,EncCu::xCheckRDCostAffineMerge2Nx2N EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N InterPrediction::motionCompensationGeo InterSearch::predInterHashSearch InterSearch::predInterSearch EncCu::xCheckRDCostMerge2Nx2N EncCu::xCheckRDCostMergeGeo2Nx2N DecCu::xDeriveCUMV,CommonLib,,
EncCu::xEncodeInterResidual,EncCu::xCheckRDCostAffineMerge2Nx2N EncCu::xCheckRDCostHashInter EncCu::xCheckRDCostInter EncCu::xCheckRDCostInterIMV EncCu::xCheckRDCostMerge2Nx2N EncCu::xCheckRDCostMergeGeo2Nx2N,EncoderLib,编码帧间预测残差,
InterSearch::predInterHashSearch,EncCu::xCheckRDCostHashInter,EncoderLib,,
InterSearch::encodeResAndCalcRdInterCU,EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N,EncoderLib,,
PU::getIBCMergeCandidates,EncCu::xCheckRDCostIBCModeMerge2Nx2N,CommonLib,获得IBC Merge模式候选,
InterSearch::searchBv,EncCu::xCheckRDCostIBCModeMerge2Nx2N,EncoderLib,,
EncCu::xCheckDQP,EncCu::xCheckModeSplit EncCu::xCheckPLT EncCu::xCheckRDCostIBCMode EncCu::xCheckRDCostIBCModeMerge2Nx2N EncCu::xCheckRDCostIntra EncCu::xEncodeInterResidual EncCu::xReuseCachedResult,EncoderLib,,
InterSearch::predInterSearch,EncCu::xCheckRDCostInter EncCu::xCheckRDCostInterIMV,EncoderLib,搜索最优帧间预测候选,
IntraSearch::estIntraPredChromaQT,EncCu::xCheckRDCostIntra,EncoderLib,,
IntraSearch::estIntraPredLumaQT,EncCu::xCheckRDCostIntra,EncoderLib,,
PU::checkDMVRCondition,InterPrediction::motionCompensation CS::setRefinedMotionField EncCu::xCheckRDCostMerge2Nx2N InterPrediction::xPredInterBi,CommonLib,,
InterPrediction::xPredInterBi,InterPrediction::motionCompensation,CommonLib,执行双向预测,
IntraPrediction::geneWeightedPred,EncCu::xCheckRDCostMerge2Nx2N DecCu::xReconInter,CommonLib,,
InterSearch::xCalcPuMeBits,EncCu::xCheckRDCostMerge2Nx2N,EncoderLib,计算PU的Merge标志位比特,
PU::getInterMergeCandidates,EncCu::xCheckRDCostMerge2Nx2N DecCu::xDeriveCUMV PU::getGeoMergeCandidates,CommonLib,获得Merge模式候选,https://liuxiangrui.github.io/2021/12/13/VTM%E4%BB%A3%E7%A0%81%E5%AD%A6%E4%B9%A0/PU_getInterMergeCandidates/
PU::getInterMMVDMergeCandidates,EncCu::xCheckRDCostMerge2Nx2N DecCu::xDeriveCUMV,CommonLib,获得MMVD Merge模式候选,
PU::getGeoMergeCandidates,EncCu::xCheckRDCostMergeGeo2Nx2N DecCu::xDeriveCUMV,CommonLib,获得Geo Merge模式候选,
DecCu::xDeriveCUMV,EncCu::xReuseCachedResult,DecoderLib,,
DecCu::xReconInter,EncCu::xReuseCachedResult,DecoderLib,,
DecCu::xReconIntraQT,EncCu::xReuseCachedResult,DecoderLib,,
TU::updateCandList,EncCu::xCheckRDCostMerge2Nx2N,CommonLib,更新候选列表,
MergeCtx::setMmvdMergeCandiInfo,EncCu::xCheckRDCostMerge2Nx2N DecCu::xDeriveCUMV,CommonLib,将MMVD Merge模式MVP候选的运动信息复制到PU,https://liuxiangrui.github.io/2021/12/13/VTM%E4%BB%A3%E7%A0%81%E5%AD%A6%E4%B9%A0/Class_MergeCtx/
MergeCtx::setMergeInfo,InterPrediction::motionCompensationGeo EncCu::xCheckRDCostMergeGeo2Nx2N EncCu::xCheckRDCostMerge2Nx2N DecCu::xDeriveCUMV,CommonLib,将Merge模式MVP候选的运动信息复制到PU,https://liuxiangrui.github.io/2021/12/13/VTM%E4%BB%A3%E7%A0%81%E5%AD%A6%E4%B9%A0/Class_MergeCtx/
